Tamaño de paso,X inicial Gradiente,Y inicial Gradiente,X final Gradiente,Y final Gradiente,Valor final Gradiente,Iteraciones Gradiente
0.001,30,-10,2.697256604253577,-2.9416896113151987,-64.13485425319172,100
0.001,30,0,2.697256604253577,-0.5996323440811666,-29.30509715904858,100
0.001,30,10,2.697256604253577,2.8086540775187716,-49.9663389199375,100
0.001,30,20,2.697256604253577,2.7895022503716413,-49.9965205490943,100
0.001,30,30,2.697256604253577,2.697256604253577,-49.98837206573489,100
0.001,30,40,2.141278998988117,-3856200.426050375,1.1056263930326894e+26,4
0.001,30,50,2.141278998988117,-7602997937.783982,1.6707424032596097e+39,4
0.001,30,60,2.141278998988117,-2109193506256.9722,9.895453597005684e+48,4
0.001,30,70,2.141278998988117,-200215364060510.25,8.034513947662454e+56,4
0.001,30,80,2.1290151540312507,1674685.641513624,3.932812045657241e+24,3
0.001,30,90,2.1290151540312507,5102703.557121582,3.389778796513728e+26,3
0.001,30,100,2.1290151540312507,13681498.455277592,1.7518812614364865e+28,3
0.001,40,-100,1244.7744643320311,-13681390.347680788,1.751825890475797e+28,3
0.001,40,-90,1244.7744643320311,-5102647.5426145755,3.389629954897125e+26,3
0.001,40,-80,1244.7744643320311,-1674658.989963672,3.9325616988900505e+24,3
0.001,40,-70,-3856200.426050375,200200705158382.1,8.03216119676164e+56,4
0.001,40,-60,-3856200.426050375,2108937396507.3953,9.89064823310568e+48,4
0.001,40,-50,-3856200.426050375,7601273044.929015,1.6692267531980774e+39,4
0.001,40,-40,-3856200.426050375,3854166.1860699463,2.208921651685055e+26,4
0.001,40,-30,-3856200.426050375,-2.1398356965926006,1.1056263930326894e+26,4
0.001,40,-20,-3856200.426050375,-4.15120176739344,1.1056263930326894e+26,4
0.001,40,-10,-3856200.426050375,-6.576787331754026,1.1056263930326894e+26,4
0.001,40,0,-3856200.426050375,-0.007620639712201877,1.1056263930326894e+26,4
0.001,40,10,-3856200.426050375,6.566092252907126,1.1056263930326894e+26,4
0.001,40,20,-3856200.426050375,4.137550348214795,1.1056263930326894e+26,4
0.001,40,30,-3856200.426050375,2.141278998988117,1.1056263930326894e+26,4
0.001,40,40,-3856200.426050375,-3856200.426050375,2.211252786065379e+26,4
0.001,40,50,-3856200.426050375,-7602997937.783982,1.6707424032597203e+39,4
0.001,40,60,-3856200.426050375,-2109193506256.9722,9.895453597005684e+48,4
0.001,40,70,-3856200.426050375,-200215364060510.25,8.034513947662454e+56,4
0.001,40,80,1244.7744643320311,1674685.641513624,3.9328120456584414e+24,3
0.001,40,90,1244.7744643320311,5102703.557121582,3.38977879651374e+26,3
0.001,40,100,1244.7744643320311,13681498.455277592,1.7518812614364867e+28,3
0.001,50,-100,15606.969953070036,-13681390.347680788,1.7518258904787632e+28,3
0.001,50,-90,15606.969953070036,-5102647.5426145755,3.389629955193764e+26,3
0.001,50,-80,15606.969953070036,-1674658.989963672,3.93256172855385e+24,3
0.001,50,-70,-7602997937.783982,200200705158382.1,8.03216119676164e+56,4
0.001,50,-60,-7602997937.783982,2108937396507.3953,9.890648234776422e+48,4
0.001,50,-50,-7602997937.783982,7601273044.929015,3.339969156457576e+39,4
0.001,50,-40,-7602997937.783982,3854166.1860699463,1.67074240325972e+39,4
0.001,50,-30,-7602997937.783982,-2.1398356965926006,1.6707424032596097e+39,4
0.001,50,-20,-7602997937.783982,-4.15120176739344,1.6707424032596097e+39,4
0.001,50,-10,-7602997937.783982,-6.576787331754026,1.6707424032596097e+39,4
0.001,50,0,-7602997937.783982,-0.007620639712201877,1.6707424032596097e+39,4
0.001,50,10,-7602997937.783982,6.566092252907126,1.6707424032596097e+39,4
0.001,50,20,-7602997937.783982,4.137550348214795,1.6707424032596097e+39,4
0.001,50,30,-7602997937.783982,2.141278998988117,1.6707424032596097e+39,4
0.001,50,40,-7602997937.783982,-3856200.426050375,1.6707424032597203e+39,4
0.001,50,50,-7602997937.783982,-7602997937.783982,3.3414848065192193e+39,4
0.001,50,60,-7602997937.783982,-2109193506256.9722,9.895453598676426e+48,4
0.001,50,70,-7602997937.783982,-200215364060510.25,8.034513947662454e+56,4
0.001,50,80,15606.969953070036,1674685.641513624,3.932812075322241e+24,3
0.001,50,90,15606.969953070036,5102703.557121582,3.3897787968103784e+26,3
0.001,50,100,15606.969953070036,13681498.455277592,1.751881261439453e+28,3
0.001,60,-100,101787.74279586606,-13681390.347680788,1.7518258958430482e+28,3
0.001,60,-90,101787.74279586606,-5102647.5426145755,3.389630491622254e+26,3
0.001,60,-80,101787.74279586606,-1674658.989963672,3.9326153714029294e+24,3
